Compound,Tc,Magnetism,Inversed,Moment,Cell_Parameter,mean_CovalentRadius,maxdiff_CovalentRadius,mean_Density,mean_FirstIonizationEnergy,dev_Polarizability,mean_phi,maxdiff_phi,mean_Column,maxdiff_Column,dev_Column,mean_GSenergy_pa,mean_GSmagmom,maxdiff_MendeleevNumber,mean_Number,maxdiff_Number,mean_NUnfilled,dev_NUnfilled,mean_NValance,dev_NValance,mean_NdValence,maxdiff_NdValence,mean_NdUnfilled,maxdiff_NdUnfilled,max_NdUnfilled,frac_sValence,frac_pValence,frac_dValence,frac_fValence,J sum,L sum,S sum,X_Type,Y_Type,Z_Type,Type(XY),Type(XZ),Type(YZ),Type,J(X),J(Y),J(Z),L(X),L(Y),L(Z),S(X),S(Y),S(Z),S(XY),S(XZ),S(YZ),L(XY),L(XZ),L(YZ),J(XY),J(XZ),J(YZ),Jg sum,C(T),C(FM),C(AFM),J(T),S(T),Val(T),J(FM),S(FM),L(FM),Val(FM),R(FM),J(AFM),S(AFM),L(AFM),Val(AFM),R(AFM),EN(X),EN(Y),EN(Z),Z(X),Z(Y),Z(Z),M(X),M(Y),M(Z),Val(X),Val(Y),Val(Z),R(X),R(Y),R(Z),Group(X),Group(Y),Group(Z),Unfilled(X),Unfilled(Z),EN(XY),EN(XZ),EN(YZ),Z(XY),Z(XZ),Z(YZ),M(XY),M(XZ),M(YZ),Val(XY),Val(XZ),Val(YZ),R(XY),R(XZ),R(YZ),Group(XY),Group(XZ),Group(YZ),Unfilled(XY),Unfilled(XZ),Unfilled(YZ),EN sum,Z sum,M sum,Val sum,R sum,Group sum,Unfilled sum,GSmom(XY),GSmom(XZ),GSmom(YZ),GSmom sum,GSmom(AB),GSmom(AC),GSmom(BD),GSmom(CD),EN(AB),EN(AC),EN(BD),EN(CD),Val(AB),Val(AC),Val(BD),Val(CD),Unf(AB),Unf(AC),Unf(BD),Unf(CD),J(AB),J(AC),J(BD),J(CD),R(AB),R(AC),R(BD),R(CD),M(AB),M(AC),M(BD),M(CD),L(AB),L(AC),L(BD),L(CD),S(AB),S(AC),S(BD),S(CD),d(XX)
Co2NbSn,105,1,0,1.7507016,6.143,138.75,38,8420,7.4661975,3.13,4.6,1.05,9.25,9,2.375,-7.0537867275,0.7742356,33,36.25,23,4.25,1.375,9.25,2.375,7,6,3,6,7,0.1891891892,0.0540540541,0.7567567568,0,9.5,9,6.5,3,3,1,0,2,2,1,4.5,0.5,0,3,2,1,1.5,2.5,1,1,0.5,1.5,1,2,1,4,4.5,0.5,0,0.357731574248936,0.357731574248936,0,4.5,1.5,9,4.5,1.5,3,9,138,0,0,0,0,0,1.88,1.6,1.96,27,41,50,64,53,83,9,5,4,138,164,139,9,5,14,0,0,0.28,0.08,0.36,14,23,9,11,19,30,4,5,1,26,1,25,4,5,9,5,0,5,7.32,145,264,27,579,37,5,1.5484712,1.5484712,0,3.0969424,0.7742356,1.5484712,0,0.7742356,1.74,1.88,1.78,1.92,7,9,4.5,6.5,2.5,0,2.5,0,2.5,4.5,0.25,2.25,151,138,151.5,138.5,58.5,64,68,73.5,2.5,3,1.5,2,2,1.5,1.75,1.25,3.0715
Co2ScSn,254,1,0,1.037741,6.188,140.25,44,7023.75,7.4168575,3.9175,4.4,1.85,8.75,11,2.875,-6.1018346175,0.7742371875,69,31.25,29,4.75,2.125,8.75,2.875,6.25,9,3.75,9,9,0.2285714286,0.0571428571,0.7142857143,0,10.5,9,4.5,3,3,1,0,2,2,1,4.5,1.5,0,3,2,1,1.5,0.5,1,1,0.5,0.5,1,2,1,3,4.5,1.5,0,0.41866027153076,0.41866027153076,0,4.5,1.5,9,4.5,1.5,3,9,138,0,0,0,0,0,1.88,1.36,1.96,27,21,50,64,19,83,9,3,4,138,170,139,9,3,14,0,0,0.52,0.08,0.6,6,23,29,45,19,64,6,5,1,32,1,31,6,5,11,7,0,7,7.08,125,230,25,585,35,7,1.54846485,1.5484712,6.35E-06,3.09694875,0.774238775,1.5484712,3.175E-06,0.7742356,1.62,1.88,1.66,1.92,6,9,3.5,6.5,3.5,0,3.5,0,3,4.5,0.75,2.25,154,138,154.5,138.5,41.5,64,51,73.5,2.5,3,1.5,2,1,1.5,0.75,1.25,3.094
Co2SiTi,375,1,0,1.9971687,5.77,130.75,49,6159.25,7.685455,2.90875,4.675,1.3,9,10,2.5,-6.8402308538,0.7742412333,35,22.5,13,4.5,1.75,6.5,2.5,4,7,3.5,8,5,0.3076923077,0.0769230769,0.6153846154,0,11,10,5,3,3,1,0,2,2,1,4.5,2,0,3,3,1,1.5,1,1,0.5,0.5,0,0,2,2,2.5,4.5,2,0,0.60812643184573,0.60812643184573,0,4.5,1.5,9,4.5,1.5,3,9,138,0,0,0,0,0,1.88,1.54,1.9,27,22,14,64,51,85,9,4,4,138,160,111,9,4,14,0,0,0.34,0.02,0.36,5,13,8,13,21,34,5,5,0,22,27,49,5,5,10,5,0,5,7.2,90,264,26,547,36,5,1.54844866666667,1.5484712,2.25333333333E-05,3.09696493333333,0.774246866666666,1.5484712,1.126666666665E-05,0.7742356,1.71,1.88,1.72,1.89,6.5,9,4,6.5,2.5,0,2.5,0,3.25,4.5,1,2.25,149,138,135.5,124.5,57.5,64,68,74.5,3,3,2,2,1.25,1.5,1,1.25,2.885
Co2SnTi,371,1,1,2.0001273,6.076,137.75,34,7404.25,7.483515,2.7175,4.5375,1.3,9,10,2.5,-6.474263125,0.7742412333,37,31.5,28,4.5,1.75,9,2.5,6.5,8,3.5,8,8,0.2222222222,0.0555555556,0.7222222222,0,11,10,5,3,3,1,0,2,2,1,4.5,2,0,3,3,1,1.5,1,1,0.5,0.5,0,0,2,2,2.5,4.5,2,0,0.414375563446913,0.414375563446913,0,4.5,1.5,9,4.5,1.5,3,9,138,0,0,0,0,0,1.88,1.54,1.96,27,22,50,64,51,83,9,4,4,138,160,139,9,4,14,0,0,0.34,0.08,0.42,5,23,28,13,19,32,5,5,0,22,1,21,5,5,10,5,0,5,7.26,126,262,26,575,36,5,1.54844866666667,1.5484712,2.25333333333E-05,3.09696493333333,1.5484712,0.774246866666666,0.7742356,1.126666666665E-05,1.88,1.71,1.92,1.75,9,6.5,6.5,4,0,2.5,0,2.5,4.5,3.25,2.25,1,138,149,138.5,149.5,64,57.5,73.5,67,3,3,2,2,1.5,1.25,1.25,1,3.038
Co2SnV,95,1,0,3.0201765,5.96,136,27,7805,7.4630325,1.8925,4.65,0.95,9.25,9,2.375,-6.7652715175,0.7742356,34,31.75,27,4.25,1.375,9.25,2.375,6.75,7,3.25,7,0,0.2162162162,0.0540540541,0.7297297297,0,10.5,10,5.5,3,3,1,0,2,2,1,4.5,1.5,0,3,3,1,1.5,1.5,1,0,0.5,0.5,0,2,2,3,4.5,1.5,0,0.409944542929137,0.409944542929137,0,4.5,1.5,9,4.5,1.5,3,9,138,0,0,0,0,0,1.88,1.63,1.96,27,23,50,64,54,83,9,5,4,138,153,139,9,5,14,0,0,0.25,0.08,0.33,4,23,27,10,19,29,4,5,1,15,1,14,4,5,9,5,0,5,7.35,127,265,27,568,37,5,1.5484712,1.5484712,0,3.0969424,0.7742356,1.5484712,0,0.7742356,1.755,1.88,1.795,1.92,7,9,4.5,6.5,2.5,0,2.5,0,3,4.5,0.75,2.25,145.5,138,146,138.5,59,64,68.5,73.5,3,3,2,2,1.5,1.5,1.25,1.25,2.98
Co2SnZr,448,1,0,1.996513,6.233,141.5,49,7905.25,7.43496,3.955,4.45,1.65,9,10,2.5,-6.6669459838,0.7742356,36,36,23,4.5,1.75,9,2.5,6.5,8,3.5,8,9,0.2222222222,0.0555555556,0.7222222222,0,11,10,5,3,3,1,0,2,2,1,4.5,2,0,3,3,1,1.5,1,1,0.5,0.5,0,0,2,2,2.5,4.5,2,0,0.359567570984281,0.359567570984281,0,4.5,1.5,9,4.5,1.5,3,9,138,0,0,0,0,0,1.88,1.33,1.96,27,40,50,64,49,83,9,4,4,138,175,139,9,4,14,0,0,0.55,0.08,0.63,13,23,10,15,19,34,5,5,0,37,1,36,5,5,10,5,0,5,7.05,144,260,26,590,36,5,1.5484712,1.5484712,0,3.0969424,0.7742356,1.5484712,0,0.7742356,1.605,1.88,1.645,1.92,6.5,9,4,6.5,2.5,0,2.5,0,3.25,4.5,1,2.25,156.5,138,157,138.5,56.5,64,66,73.5,3,3,2,2,1.25,1.5,1,1.25,3.1165
Cu2AlMn,630,1,0,3.5082306,5.968,131,18,7002.5,7.218137,1.1375,4.3875,0.25,10.5,6,1.75,-5.0318245026,7.753017241375E-05,21,24,16,3,2,8,3,6.25,10,1.25,5,4,0.1875,0.03125,0.78125,0,4,1,4,3,3,1,0,2,2,1,0.5,2.5,0.5,0,0,1,0.5,2.5,0.5,2,0,2,0,1,1,2,0,2,0,0.262846891324161,0,0.262846891324161,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.9,1.55,1.61,29,25,13,72,60,80,11,7,3,132,150,121,11,7,13,0,0,0.35,0.29,0.06,4,16,12,12,8,20,4,8,4,18,11,29,4,2,6,3,0,3,6.96,96,284,32,535,42,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.725,1.9,1.58,1.755,9,11,5,7,1.5,0,1.5,0,1.5,0.5,1.5,0.5,141,132,135.5,126.5,66,72,70,76,0,0,0.5,0.5,1.5,0.5,1.5,0.5,2.984
Cu2CeIn,2.3,-1,0,0,6.791,152.5,72,7959.75,6.694455,8.35625,3.995,1.27,9.5,10,3.25,-3.7011703125,0,60,41.25,29,7.25,7.375,9.75,2.875,7.75,9,2.25,9,4,0.1538461538,0.0256410256,0.7948717949,0.0256410256,4,4,2,3,2,1,1,2,1,5,0.5,2.5,0.5,0,3,1,0.5,0.5,0.5,0,0,0,3,1,2,2,0,2,2.1428571429,0,0,0.366770848057462,0,0,0,0,0,0,0,0,2.5,0.5,3,2,204,1.9,1.12,1.78,29,58,49,72,32,79,11,2,3,132,204,142,11,4,13,0,0,0.78,0.12,0.66,29,20,9,40,7,47,9,8,1,72,10,62,7,2,9,0,0,0,6.7,165,255,27,610,39,0,0,0,0,0,0,0,0,0,1.51,1.9,1.45,1.84,6.5,11,2.5,7,0,0,0,0,1.5,0.5,1.5,0.5,168,132,173,137,52,72,55.5,75.5,1.5,0,2,0.5,0.5,0.5,0.5,0.5,3.3955
Cu2DyIn,3,-1,0,0,6.593,149.5,60,8425.25,6.794505,6.44375,4.0025,1.24,9.5,10,3.25,-3.6574165133,0,44,43.25,37,2.75,1.75,11.75,0.75,7.5,10,0,0,8,0.1276595745,0.0212765957,0.6382978723,0.2127659574,9,6,4,3,2,1,1,2,1,5,0.5,7.5,0.5,0,5,1,0.5,2.5,0.5,2,0,2,5,1,4,7,0,7,10,0,0,0.401819935214263,0,0,0,0,0,0,0,0,7.5,2.5,5,2,192,1.9,1.22,1.78,29,66,49,72,24,79,11,2,3,132,192,142,11,12,13,0,0,0.68,0.12,0.56,37,20,17,48,7,55,9,8,1,60,10,50,1,2,1,0,0,0,6.8,173,247,27,598,47,0,0,0,0,0,0,0,0,0,1.56,1.9,1.5,1.84,6.5,11,2.5,7,0,0,0,0,4,0.5,4,0.5,162,132,167,137,48,72,51.5,75.5,2.5,0,3,0.5,1.5,0.5,1.5,0.5,3.2965
Cu2GdIn,12,-1,0,0,6.447,150.5,64,8262.75,6.84723,6.06875,4,1.25,9.5,10,3.25,-3.6706332275,0,48,42.75,35,5.75,5.125,11.25,0.875,7.75,9,2.25,9,5,0.1333333333,0.0222222222,0.6888888889,0.1555555556,5,1,5,3,2,1,1,2,1,5,0.5,3.5,0.5,0,0,1,0.5,3.5,0.5,3,0,3,0,1,1,3,0,3,7,0,0.787904599659285,0,0,0,0,7,7,0,4,392,0,0,0,0,0,1.9,1.2,1.78,29,64,49,72,27,79,11,2,3,132,196,142,11,10,13,0,0,0.7,0.12,0.58,35,20,15,45,7,52,9,8,1,64,10,54,1,2,3,0,0,0,6.78,171,250,27,602,45,0,0,0,0,0,0,0,0,0,1.55,1.9,1.49,1.84,6.5,11,2.5,7,0,0,0,0,2,0.5,2,0.5,164,132,169,137,49.5,72,53,75.5,0,0,0.5,0.5,2,0.5,2,0.5,3.2235
Cu2InMn,500,1,1,3.7306001,6.206,136.25,10,8155,7.168285,1.6875,4.3125,0.55,10.5,6,1.75,-4.7621692126,7.753017241375E-05,23,33,24,3,2,10.5,1.75,8.75,5,1.25,5,0,0.1428571429,0.0238095238,0.8333333333,0,4,1,4,3,3,1,0,2,2,1,0.5,2.5,0.5,0,0,1,0.5,2.5,0.5,2,0,2,0,1,1,2,0,2,0,0.185071271060586,0,0.185071271060586,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.9,1.55,1.78,29,25,49,72,60,79,11,7,3,132,150,142,11,7,13,0,0,0.35,0.12,0.23,4,20,24,12,7,19,4,8,4,18,10,8,4,2,6,3,0,3,7.13,132,283,32,556,42,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0,0.000155060344828,0,0.000155060344828,1.9,1.725,1.84,1.665,11,9,7,5,0,1.5,0,1.5,0.5,1.5,0.5,1.5,132,141,137,146,72,66,75.5,69.5,0,0,0.5,0.5,0.5,1.5,0.5,1.5,3.103
Cu2InNd,2,-1,0,0,6.735,151.75,69,8040,6.69103,9.03125,3.9975,1.26,9.5,10,3.25,-3.697615735,0,56,41.75,31,4.25,3.25,10.25,2.125,7.5,10,0,0,5,0.1463414634,0.0243902439,0.7317073171,0.0975609756,6,7,3,3,2,1,1,2,1,5,0.5,4.5,0.5,0,6,1,0.5,1.5,0.5,1,0,1,6,1,5,4,0,4,3.2727272727,0,0,0.373536845594481,0,0,0,0,0,0,0,0,4.5,1.5,6,2,201,1.9,1.14,1.78,29,60,49,72,30,79,11,2,3,132,201,142,11,6,13,0,0,0.76,0.12,0.64,31,20,11,42,7,49,9,8,1,69,10,59,5,2,7,0,0,0,6.72,167,253,27,607,41,0,0,0,0,0,0,0,0,0,1.52,1.9,1.46,1.84,6.5,11,2.5,7,0,0,0,0,2.5,0.5,2.5,0.5,166.5,132,171.5,137,51,72,54.5,75.5,3,0,3.5,0.5,1,0.5,1,0.5,3.3675
Cu2InSm,7,-1,0,0,6.685,151,66,8125.75,6.720705,8.05625,4,1.25,9.5,10,3.25,-3.6853728088,0,52,42.25,33,3.75,2.75,10.75,1.375,7.5,10,0,0,8,0.1395348837,0.023255814,0.6976744186,0.1395348837,4,6,4,3,2,1,1,2,1,5,0.5,2.5,0.5,0,5,1,0.5,2.5,0.5,2,0,2,5,1,4,2,0,2,0.7142857143,0,0,0.383307415810539,0,0,0,0,0,0,0,0,2.5,2.5,5,2,198,1.9,1.17,1.78,29,62,49,72,28,79,11,2,3,132,198,142,11,8,13,0,0,0.73,0.12,0.61,33,20,13,44,7,51,9,8,1,66,10,56,3,2,5,9,0,9,6.75,169,251,27,604,43,9,0,0,0,0,0,0,0,0,1.535,1.9,1.475,1.84,6.5,11,2.5,7,4.5,0,4.5,0,1.5,0.5,1.5,0.5,165,132,170,137,50,72,53.5,75.5,2.5,0,3,0.5,1.5,0.5,1.5,0.5,3.3425
Cu2InTb,6,-1,0,0,6.616,150,62,8342.25,6.77573,6.81875,4.0025,1.24,9.5,10,3.25,-3.6643323242,0,46,43,36,3,2,11.5,0.75,7.5,10,0,0,4,0.1304347826,0.0217391304,0.652173913,0.1956521739,7.5,4,4.5,3,2,1,1,2,1,5,0.5,6,0.5,0,3,1,0.5,3,0.5,2.5,0,2.5,3,1,2,5.5,0,5.5,9,0,0.396485364876127,0,0,0,0,6,3,3,2,194,0,0,0,0,0,1.9,1.1,1.78,29,65,49,72,26,79,11,2,3,132,194,142,11,11,13,0,0,0.8,0.12,0.68,36,20,16,46,7,53,9,8,1,62,10,52,0,2,2,0,0,0,6.68,172,249,27,600,46,0,0,0,0,0,0,0,0,0,1.5,1.9,1.44,1.84,6.5,11,2.5,7,0,0,0,0,3.25,0.5,3.25,0.5,163,132,168,137,49,72,52.5,75.5,1.5,0,2,0.5,1.75,0.5,1.75,0.5,3.308
Cu2MnSb,38,-1,0,3.8926315,6.096,135.5,7,8001.75,7.8737925,1.1625,4.4375,0.05,11,8,2,-5.1248093076,7.753017241375E-05,33,33.5,26,2.5,1.5,11,2,8.75,5,1.25,5,9,0.1363636364,0.0681818182,0.7954545455,0,5,0,5,3,3,1,0,2,2,1,0.5,2.5,1.5,0,0,0,0.5,2.5,1.5,2,1,1,0,0,0,2,1,1,0,0.180842150373953,0,0.180842150373953,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.9,1.55,2.05,29,25,51,72,60,88,11,7,5,132,150,139,11,7,15,0,0,0.35,0.15,0.5,4,22,26,12,16,28,4,6,2,18,7,11,4,4,8,3,0,3,7.4,134,292,34,553,44,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.725,1.9,1.8,1.975,9,11,6,8,1.5,0,1.5,0,1.5,0.5,2,1,141,132,144.5,135.5,66,72,74,80,0,0,0,0,1.5,0.5,2,1,3.048
Cu2MnSn,630,1,0,3.9025817,6.176,135.5,7,8155,7.557675,1.105,4.375,0.3,10.75,7,1.875,-5.0857304951,7.753017241375E-05,28,33.25,25,2.75,1.75,10.75,1.875,8.75,5,1.25,5,0,0.1395348837,0.0465116279,0.8139534884,0,3.5,1,4.5,3,3,1,0,2,2,1,0.5,2.5,0,0,0,1,0.5,2.5,1,2,0.5,1.5,0,1,1,2,0.5,2.5,0,0.182676188001501,0,0.182676188001501,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.9,1.55,1.96,29,25,50,72,60,83,11,7,4,132,150,139,11,7,14,0,0,0.35,0.06,0.41,4,21,25,12,11,23,4,7,3,18,7,11,4,3,7,3,0,3,7.31,133,287,33,553,43,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.725,1.9,1.755,1.93,9,11,5.5,7.5,1.5,0,1.5,0,1.5,0.5,1.25,0.25,141,132,144.5,135.5,66,72,71.5,77.5,0,0,0.5,0.5,1.5,0.5,1.75,0.75,3.088
Fe2AlCr,210,1,0,0.9974452,5.805,131,18,6397,7.1392695,1.4,4.6775,0.73,8.75,7,2.125,-7.455527095,1.0553314,24,22.25,13,4.75,0.75,6.25,1.75,4.25,6,3.25,5,7,0.28,0.04,0.68,0,11.5,5,7.5,3,3,1,0,2,2,1,4,3,0.5,2,0,1,2,3,0.5,1,1.5,2.5,2,1,1,1,3.5,2.5,0,0.585783727223441,0.585783727223441,0.272705428051596,4,2,8,4,2,2,8,142,3,3,0,6,139,1.83,1.66,1.61,26,24,13,61,57,80,8,6,3,142,139,121,8,6,13,2,0,0.17,0.22,0.05,2,13,11,4,19,23,2,5,3,3,21,18,2,5,7,2,2,4,6.93,89,259,25,544,35,8,2.1106628,2.1106628,0,4.2213256,1.0553314,2.1106628,0,1.0553314,1.745,1.83,1.635,1.72,7,8,4.5,5.5,3,2,2,1,3.5,4,1.75,2.25,140.5,142,130,131.5,59,61,68.5,70.5,1,2,0.5,1.5,2.5,2,1.75,1.25,2.9025
Fe2AlMn,150,1,0,2.2453051,5.816,131,18,6479.5,7.306147,0.725,4.6275,0.73,9,6,2,-7.3342392726,1.0554089302,21,22.5,13,4.5,0.5,6.5,1.75,4.25,6,3.25,5,9,0.3076923077,0.0384615385,0.6538461538,0,11,5,7,3,3,1,0,2,2,1,4,2.5,0.5,2,0,1,2,2.5,0.5,0.5,1.5,2,2,1,1,1.5,3.5,2,0,0.860639447189018,0.57688260014418,0.283756847044838,6.5,4.5,15,4,2,2,8,142,2.5,2.5,0,7,150,1.83,1.55,1.61,26,25,13,61,60,80,8,7,3,142,150,121,8,7,13,2,0,0.28,0.22,0.06,1,13,12,1,19,20,1,5,4,8,21,29,1,5,6,1,2,3,6.82,90,262,26,555,36,7,2.11035267931034,2.1106628,0.000310120689655,4.22163572068966,1.05548646034483,2.1106628,0.000155060344828,1.0553314,1.69,1.83,1.58,1.72,7.5,8,5,5.5,2.5,2,1.5,1,3.25,4,1.5,2.25,146,142,135.5,131.5,60.5,61,70,70.5,1,2,0.5,1.5,2.25,2,1.5,1.25,2.908
Fe2AlNi,965,1,0,4.39906,5.758,127.25,11,6839,7.357592,0.8,4.815,1,9.75,5,1.75,-6.4656791025,1.204180075,18,23.25,15,3.75,0.875,7.25,2.125,5,8,2.5,4,5,0.275862069,0.0344827586,0.6896551724,0,12.5,8,5.5,3,3,1,0,2,2,1,4,4,0.5,2,3,1,2,1,0.5,1,1.5,0.5,1,1,2,0,3.5,3.5,0,0.863291125610291,0.863291125610291,0,8,3,18,8,3,5,18,266,0,0,0,0,0,1.83,1.91,1.61,26,28,13,61,67,80,8,10,3,142,124,121,8,10,13,2,0,0.08,0.22,0.3,2,13,15,6,19,13,2,5,7,18,21,3,2,5,3,2,2,0,7.18,93,269,29,529,39,4,1.5152681,2.1106628,0.5953947,4.8167203,1.35302875,2.1106628,0.29769735,1.0553314,1.87,1.83,1.76,1.72,9,8,6.5,5.5,1,2,0,1,4,4,2.25,2.25,133,142,122.5,131.5,64,61,73.5,70.5,2.5,2,2,1.5,1.5,2,0.75,1.25,2.879
Fe2AlTi,123,1,0,0.9401511,5.879,136.25,39,5738.75,7.154672,2.525,4.465,1.13,8.25,9,2.375,-7.02290474,1.0553370333,30,21.75,13,5.25,1.375,5.75,2.25,3.5,6,4,8,8,0.347826087,0.0434782609,0.6086956522,0,10.5,8,5.5,3,3,1,0,2,2,1,4,2,0.5,2,3,1,2,1,0.5,1,1.5,0.5,1,1,2,2,3.5,1.5,0,0.598750268112157,0.598750268112157,0,4,2,8,4,2,2,8,142,0,0,0,0,0,1.83,1.54,1.61,26,22,13,61,51,80,8,4,3,142,160,121,8,4,13,2,0,0.29,0.22,0.07,4,13,9,10,19,29,4,5,1,18,21,39,4,5,9,3,2,5,6.81,87,253,23,565,33,9,2.11064026666667,2.1106628,2.25333333333E-05,4.22134813333333,1.05534266666667,2.1106628,1.126666666665E-05,1.0553314,1.685,1.83,1.575,1.72,6,8,3.5,5.5,3.5,2,2.5,1,3,4,1.25,2.25,151,142,140.5,131.5,56,61,65.5,70.5,2.5,2,2,1.5,1.5,2,0.75,1.25,2.9395
Fe2CoGa,1165,1,1,6.0202955,5.767,128,10,7638,7.42127775,0.3025,4.765,1,9.5,5,1.75,-6.6659032919,1.4424492,19,27.5,5,4,0.5,9.5,1.75,7.25,4,2.75,4,9,0.2105263158,0.0263157895,0.7631578947,0,13,8,6,3,3,1,0,2,2,1,4,4.5,0.5,2,3,1,2,1.5,0.5,0.5,1.5,1,1,1,2,0.5,3.5,4,0,0.709905954616839,0.709905954616839,0,8.5,3.5,17,8.5,3.5,5,17,280,0,0,0,0,0,1.83,1.88,1.81,26,27,31,61,64,81,8,9,3,142,138,122,8,9,13,2,0,0.05,0.02,0.07,1,5,4,3,20,17,1,5,6,4,20,16,1,5,4,2,2,0,7.35,110,267,28,544,38,4,0.5621916,2.1106628,1.5484712,5.7697968,2.1106628,1.829567,1.0553314,0.7742356,1.83,1.855,1.82,1.845,8,8.5,5.5,6,2,1,1,0,4,4.25,2.25,2.5,142,140,132,130,61,62.5,71,72.5,2,2.5,1.5,2,2,1.75,1.25,1,2.8835
