Compound,Tc,Magnetism,Inversed,Moment,Cell_Parameter,mean_CovalentRadius,maxdiff_CovalentRadius,mean_Density,mean_FirstIonizationEnergy,dev_Polarizability,mean_phi,maxdiff_phi,mean_Column,maxdiff_Column,dev_Column,mean_GSenergy_pa,mean_GSmagmom,maxdiff_MendeleevNumber,mean_Number,maxdiff_Number,mean_NUnfilled,dev_NUnfilled,mean_NValance,dev_NValance,mean_NdValence,maxdiff_NdValence,mean_NdUnfilled,maxdiff_NdUnfilled,max_NdUnfilled,frac_sValence,frac_pValence,frac_dValence,frac_fValence,J sum,L sum,S sum,X_Type,Y_Type,Z_Type,Type(XY),Type(XZ),Type(YZ),Type,J(X),J(Y),J(Z),L(X),L(Y),L(Z),S(X),S(Y),S(Z),S(XY),S(XZ),S(YZ),L(XY),L(XZ),L(YZ),J(XY),J(XZ),J(YZ),Jg sum,C(T),C(FM),C(AFM),J(T),S(T),Val(T),J(FM),S(FM),L(FM),Val(FM),R(FM),J(AFM),S(AFM),L(AFM),Val(AFM),R(AFM),EN(X),EN(Y),EN(Z),Z(X),Z(Y),Z(Z),M(X),M(Y),M(Z),Val(X),Val(Y),Val(Z),R(X),R(Y),R(Z),Group(X),Group(Y),Group(Z),Unfilled(X),Unfilled(Z),EN(XY),EN(XZ),EN(YZ),Z(XY),Z(XZ),Z(YZ),M(XY),M(XZ),M(YZ),Val(XY),Val(XZ),Val(YZ),R(XY),R(XZ),R(YZ),Group(XY),Group(XZ),Group(YZ),Unfilled(XY),Unfilled(XZ),Unfilled(YZ),EN sum,Z sum,M sum,Val sum,R sum,Group sum,Unfilled sum,GSmom(XY),GSmom(XZ),GSmom(YZ),GSmom sum,GSmom(AB),GSmom(AC),GSmom(BD),GSmom(CD),EN(AB),EN(AC),EN(BD),EN(CD),Val(AB),Val(AC),Val(BD),Val(CD),Unf(AB),Unf(AC),Unf(BD),Unf(CD),J(AB),J(AC),J(BD),J(CD),R(AB),R(AC),R(BD),R(CD),M(AB),M(AC),M(BD),M(CD),L(AB),L(AC),L(BD),L(CD),S(AB),S(AC),S(BD),S(CD),d(XX)
Mn2SnW,258,1,0,0.0063713,6.317,144.75,23,10375,7.5189975,1.09,4.4625,0.65,8.5,8,2.75,-8.7402445527,0.0001550603,29,43.5,49,5,0.5,12,5,6,6,4,6,4,0.1666666667,0.0416666667,0.5,0.2916666667,5,3,8,3,3,1,0,2,2,1,2.5,0,0,0,2,1,2.5,2,1,0.5,1.5,1,2,1,1,2.5,2.5,0,0,0.266414013720616,0,0.266414013720616,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.55,2.36,1.96,25,74,50,60,55,83,7,6,4,150,162,139,7,6,14,3,0,0.81,0.41,0.4,49,25,24,5,23,28,1,3,2,12,11,23,1,7,8,1,3,4,7.42,174,258,24,601,34,10,0.000310120689655,0.000310120689655,0,0.00062024137931,0.000155060344828,0.000310120689655,0,0.000155060344828,1.955,1.55,2.16,1.755,6.5,7,5,5.5,3.5,3,2,1.5,1.25,2.5,0,1.25,156,150,150.5,144.5,57.5,60,69,71.5,1,0,1.5,0.5,2.25,2.5,1.5,1.75,3.1585
Mn3Si,25.8,-1,0,2.1210693,5.72,132,28,6185,7.613435,1.45125,4.5125,0.25,8.75,7,2.625,-8.121653439,0.0002325905,26,22.25,11,4.75,0.375,6.25,1.125,3.75,5,3.75,5,5,0.32,0.08,0.6,0,15,1,16,3,1,3,2,0,2,6,2.5,0,2.5,0,1,0,2.5,1,2.5,1.5,0,1.5,1,0,1,2.5,0,2.5,0,0.85440356069103,0,0.85440356069103,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.55,1.9,1.55,25,14,25,60,85,60,7,4,7,150,111,150,7,14,7,3,3,0.35,0,0.35,11,0,11,25,0,25,3,0,3,39,0,39,7,0,7,3,0,3,9.3,150,360,42,900,42,18,0.000310120689655,0,0.000310120689655,0.00186072413793,0.000155060344828,0.000310120689655,0.000155060344828,0.000310120689655,1.725,1.55,1.725,1.55,5.5,7,5.5,7,1.5,3,1.5,3,1.25,2.5,1.25,2.5,130.5,150,130.5,150,72.5,60,72.5,60,0.5,0,0.5,0,1.75,2.5,1.75,2.5,2.47683265482349
Ni2AlMn,365,1,0,4.0599384,5.824,127,18,6996.5,7.174847,0.975,4.7625,1,10,6,1.5,-5.9646593776,0.2977748802,21,23.5,15,3.5,1.5,7.5,2.5,5.25,8,2.25,5,8,0.2666666667,0.0333333333,0.7,0,11,7,5,3,3,1,0,2,2,1,4,2.5,0.5,3,0,1,1,2.5,0.5,1.5,0.5,2,3,2,1,1.5,3.5,2,0,0.864622807796509,0.588976619211508,0.275646188585,6.5,3.5,17,4,1,3,10,124,2.5,2.5,0,7,150,1.91,1.55,1.61,28,25,13,67,60,80,10,7,3,124,150,121,10,7,13,0,0,0.36,0.3,0.06,3,15,12,7,13,20,3,7,4,26,3,29,3,3,6,3,0,3,6.98,94,274,30,519,40,3,0.595084579310345,0.5953947,0.000310120689655,1.19109952068966,0.297852410344827,0.5953947,0.000155060344828,0.29769735,1.73,1.91,1.58,1.76,8.5,10,5,6.5,1.5,0,1.5,0,3.25,4,1.5,2.25,137,124,135.5,122.5,63.5,67,70,73.5,1.5,3,0.5,2,1.75,1,1.5,0.75,2.912
Ni2GaMn,376,1,0,4.0560628,5.822,127.25,17,7797.5,7.17823025,0.98,4.7375,1.1,10,6,1.5,-5.7813674232,0.2977748802,22,28,6,3.5,1.5,10,1.5,7.75,5,2.25,5,4,0.2,0.025,0.775,0,11,7,5,3,3,1,0,2,2,1,4,2.5,0.5,3,0,1,1,2.5,0.5,1.5,0.5,2,3,2,1,1.5,3.5,2,0,0.711945380054923,0.484973539012504,0.226971841042419,6.5,3.5,17,4,1,3,10,124,2.5,2.5,0,7,150,1.91,1.55,1.81,28,25,31,67,60,81,10,7,3,124,150,122,10,7,13,0,0,0.36,0.1,0.26,3,3,6,7,14,21,3,7,4,26,2,28,3,3,6,3,0,3,7.18,112,275,30,520,40,3,0.595084579310345,0.5953947,0.000310120689655,1.19109952068966,0.297852410344827,0.5953947,0.000155060344828,0.29769735,1.73,1.91,1.68,1.86,8.5,10,5,6.5,1.5,0,1.5,0,3.25,4,1.5,2.25,137,124,136,123,63.5,67,70.5,74,1.5,3,0.5,2,1.75,1,1.5,0.75,2.911
Ni2GeMn,300,1,0,3.9465462,5.822,126.75,19,7652.25,7.6532625,1.095,4.85,0.75,10.25,7,1.875,-6.1823134838,0.2977748802,27,28.25,7,3.25,1.25,10.25,1.875,7.75,5,2.25,5,5,0.1951219512,0.0487804878,0.756097561,0,10.5,7,5.5,3,3,1,0,2,2,1,4,2.5,0,3,0,1,1,2.5,1,1.5,0,1.5,3,2,1,1.5,4,2.5,0,0.703467654715925,0.479198556021375,0.224269098694549,6.5,3.5,17,4,1,3,10,124,2.5,2.5,0,7,150,1.91,1.55,2.01,28,25,32,67,60,84,10,7,4,124,150,120,10,7,14,0,0,0.36,0.1,0.46,3,4,7,7,17,24,3,6,3,26,4,30,3,4,7,3,0,3,7.38,113,278,31,518,41,3,0.595084579310345,0.5953947,0.000310120689655,1.19109952068966,0.297852410344827,0.5953947,0.000155060344828,0.29769735,1.73,1.91,1.78,1.96,8.5,10,5.5,7,1.5,0,1.5,0,3.25,4,1.25,2,137,124,135,122,63.5,67,72,75.5,1.5,3,0.5,2,1.75,1,1.75,1,2.911
Ni2InMn,323,1,0,4.1888099,6.068,132.25,18,8149,7.124995,1.3625,4.6875,1.3,10,6,1.5,-5.6950040876,0.2977748802,23,32.5,24,3.5,1.5,10,1.5,7.75,5,2.25,5,0,0.2,0.025,0.775,0,11,7,5,3,3,1,0,2,2,1,4,2.5,0.5,3,0,1,1,2.5,0.5,1.5,0.5,2,3,2,1,1.5,3.5,2,0,0.600136301498301,0.408809768531756,0.191326532966545,6.5,3.5,17,4,1,3,10,124,2.5,2.5,0,7,150,1.91,1.55,1.78,28,25,49,67,60,79,10,7,3,124,150,142,10,7,13,0,0,0.36,0.13,0.23,3,21,24,7,12,19,3,7,4,26,18,8,3,3,6,3,0,3,7.15,130,273,30,540,40,3,0.595084579310345,0.5953947,0.000310120689655,1.19109952068966,0.297852410344827,0.5953947,0.000155060344828,0.29769735,1.73,1.91,1.665,1.845,8.5,10,5,6.5,1.5,0,1.5,0,3.25,4,1.5,2.25,137,124,146,133,63.5,67,69.5,73,1.5,3,0.5,2,1.75,1,1.5,0.75,3.034
Ni2MnSb,360,1,1,3.9831544,6.005,131.5,15,7995.75,7.8305025,1,4.8125,0.8,10.5,8,2.25,-6.0576441826,0.2977748802,33,33,26,3,1,10.5,2.25,7.75,5,2.25,5,5,0.1904761905,0.0714285714,0.7380952381,0,12,6,6,3,3,1,0,2,2,1,4,2.5,1.5,3,0,0,1,2.5,1.5,1.5,0.5,1,3,3,0,1.5,2.5,1,0,0.585969824456612,0.399159637076844,0.186810187379768,6.5,3.5,17,4,1,3,10,124,2.5,2.5,0,7,150,1.91,1.55,2.05,28,25,51,67,60,88,10,7,5,124,150,139,10,7,15,0,0,0.36,0.14,0.5,3,23,26,7,21,28,3,5,2,26,15,11,3,5,8,3,0,3,7.42,132,282,32,537,42,3,0.595084579310345,0.5953947,0.000310120689655,1.19109952068966,0.5953947,0.297852410344827,0.29769735,0.000155060344828,1.91,1.73,1.98,1.8,10,8.5,7.5,6,0,1.5,0,1.5,4,3.25,2.75,2,124,137,131.5,144.5,67,63.5,77.5,74,3,1.5,1.5,0,1,1.75,1.25,2,3.0025
Ni2MnSn,344,1,1,4.0760123,6.052,131.5,15,8149,7.514385,0.9425,4.75,1.05,10.25,7,1.875,-6.0185653701,0.2977748802,28,32.75,25,3.25,1.25,10.25,1.875,7.75,5,2.25,5,8,0.1951219512,0.0487804878,0.756097561,0,10.5,7,5.5,3,3,1,0,2,2,1,4,2.5,0,3,0,1,1,2.5,1,1.5,0,1.5,3,2,1,1.5,4,2.5,0,0.592110697260323,0.403342768114244,0.188767929146079,6.5,3.5,17,4,1,3,10,124,2.5,2.5,0,7,150,1.91,1.55,1.96,28,25,50,67,60,83,10,7,4,124,150,139,10,7,14,0,0,0.36,0.05,0.41,3,22,25,7,16,23,3,6,3,26,15,11,3,4,7,3,0,3,7.33,131,277,31,537,41,3,0.595084579310345,0.5953947,0.000310120689655,1.19109952068966,0.5953947,0.297852410344827,0.29769735,0.000155060344828,1.91,1.73,1.935,1.755,10,8.5,7,5.5,0,1.5,0,1.5,4,3.25,2,1.25,124,137,131.5,144.5,67,63.5,75,71.5,3,1.5,2,0.5,1,1.75,1,1.75,3.026
Pd2DySn,15,-1,0,0,6.72,152.25,53,9976.75,7.489155,7.105,4.565,2.24,9.25,11,3.125,-4.7095376708,0,49,52,20,2,2,11.5,1.5,7.5,10,0,0,0,0.0869565217,0.0434782609,0.652173913,0.2173913043,7.5,6,3.5,3,2,1,1,2,1,5,0,7.5,0,0,5,1,0,2.5,1,2.5,1,1.5,5,1,4,7.5,0,7.5,10,0,0,0.328914077522518,0,0,0,0,0,0,0,0,7.5,2.5,5,2,192,2.2,1.22,1.96,46,66,50,69,24,83,12,2,4,139,192,139,10,12,14,0,0,0.98,0.24,0.74,20,4,16,45,14,59,10,8,2,53,0,53,2,4,2,0,0,0,7.58,208,245,30,609,46,0,0,0,0,0,0,0,0,0,1.71,2.2,1.59,2.08,7,12,3,8,0,0,0,0,3.75,0,3.75,0,165.5,139,165.5,139,46.5,69,53.5,76,2.5,0,3,0.5,1.25,0,1.75,0.5,3.36
Pd2GeMn,170,1,1,4.1290648,6.182,134.25,19,9209.75,8.0018125,1.595,4.975,1,10.25,7,1.875,-5.9780384838,7.753017241375E-05,27,37.25,21,2.25,2.25,10.25,1.875,8.75,5,1.25,5,6,0.0975609756,0.0487804878,0.8536585366,0,2.5,1,3.5,3,3,1,0,2,2,1,0,2.5,0,0,0,1,0,2.5,1,2.5,1,1.5,0,1,1,2.5,0,2.5,0,0.161384056476795,0,0.161384056476795,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.2,1.55,2.01,46,25,32,69,60,84,12,7,4,139,150,120,10,7,14,0,0,0.65,0.19,0.46,21,14,7,9,15,24,5,8,3,11,19,30,3,4,7,3,0,3,7.96,149,282,35,548,41,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0,0.000155060344828,0,0.000155060344828,2.2,1.875,2.105,1.78,12,9.5,8,5.5,0,1.5,0,1.5,0,1.25,0,1.25,139,144.5,129.5,135,69,64.5,76.5,72,0,0,0.5,0.5,0,1.25,0.5,1.75,3.091
Pd2InMn,142,1,0,4.2119123,6.373,139.75,3,9706.5,7.473545,2.3625,4.8125,1.55,10,6,1.5,-5.4907290876,7.753017241375E-05,23,41.5,24,2.5,2.5,10,1.5,8.75,5,1.25,5,5,0.1,0.025,0.875,0,3,1,3,3,3,1,0,2,2,1,0,2.5,0.5,0,0,1,0,2.5,0.5,2.5,0.5,2,0,1,1,2.5,0.5,2,0,0.143592819941461,0,0.143592819941461,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.2,1.55,1.78,46,25,49,69,60,79,12,7,3,139,150,142,10,7,13,0,0,0.65,0.42,0.23,21,3,24,9,10,19,5,9,4,11,3,8,3,3,6,3,0,3,7.73,166,277,34,570,40,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.875,2.2,1.665,1.99,9.5,12,5,7.5,1.5,0,1.5,0,1.25,0,1.5,0.25,144.5,139,146,140.5,64.5,69,69.5,74,0,0,0.5,0.5,1.25,0,1.5,0.25,3.1865
Pd2MnSb,247,1,0,4.2999983,6.424,139,0,9553.25,8.1790525,1.6,4.9375,1.05,10.5,8,2.25,-5.8533691826,7.753017241375E-05,33,42,26,2,2,10.5,2.25,8.75,5,1.25,5,5,0.0952380952,0.0714285714,0.8333333333,0,4,0,4,3,3,1,0,2,2,1,0,2.5,1.5,0,0,0,0,2.5,1.5,2.5,1.5,1,0,0,0,2.5,1.5,1,0,0.141033836630771,0,0.141033836630771,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.2,1.55,2.05,46,25,51,69,60,88,12,7,5,139,150,139,10,7,15,0,0,0.65,0.15,0.5,21,5,26,9,19,28,5,7,2,11,0,11,3,5,8,3,0,3,8,168,286,36,567,42,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.875,2.2,1.8,2.125,9.5,12,6,8.5,1.5,0,1.5,0,1.25,0,2,0.75,144.5,139,144.5,139,64.5,69,74,78.5,0,0,0,0,1.25,0,2,0.75,3.212
Pd2MnSn,189,1,1,4.1623714,6.383,139,0,9706.5,7.862935,1.715,4.875,1.3,10.25,7,1.875,-5.8142903701,7.753017241375E-05,28,41.75,25,2.25,2.25,10.25,1.875,8.75,5,1.25,5,0,0.0975609756,0.0487804878,0.8536585366,0,2.5,1,3.5,3,3,1,0,2,2,1,0,2.5,0,0,0,1,0,2.5,1,2.5,1,1.5,0,1,1,2.5,0,2.5,0,0.142146815951319,0,0.142146815951319,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.2,1.55,1.96,46,25,50,69,60,83,12,7,4,139,150,139,10,7,14,0,0,0.65,0.24,0.41,21,4,25,9,14,23,5,8,3,11,0,11,3,4,7,3,0,3,7.91,167,281,35,567,41,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0,0.000155060344828,0,0.000155060344828,2.2,1.875,2.08,1.755,12,9.5,8,5.5,0,1.5,0,1.5,0,1.25,0,1.25,139,144.5,139,144.5,69,64.5,76,71.5,0,0,0.5,0.5,0,1.25,0.5,1.75,3.1915
Pd2SnTb,9,-1,0,0,6.736,152.75,55,9893.75,7.47038,7.48,4.565,2.24,9.25,11,3.125,-4.7164534817,0,51,51.75,19,2.25,2.25,11.25,1.375,7.5,10,0,0,5,0.0888888889,0.0444444444,0.6666666667,0.2,6,4,4,3,2,1,1,2,1,5,0,6,0,0,3,1,0,3,1,3,1,2,3,1,2,6,0,6,9,0,0.324023113495918,0,0,0,0,6,3,3,2,194,0,0,0,0,0,2.2,1.1,1.96,46,65,50,69,26,83,12,2,4,139,194,139,10,11,14,0,0,1.1,0.24,0.86,19,4,15,43,14,57,10,8,2,55,0,55,1,4,3,0,0,0,7.46,207,247,30,611,45,0,0,0,0,0,0,0,0,0,1.65,2.2,1.53,2.08,7,12,3,8,0,0,0,0,3,0,3,0,166.5,139,166.5,139,47.5,69,54.5,76,1.5,0,2,0.5,1.5,0,2,0.5,3.368
Pt2AlMn,190,-1,0,4.1691889,6.257,133,18,13087.5,7.834347,1.05,4.9875,1.45,10,6,1.5,-6.2057519326,7.753017241375E-05,21,48.5,65,3.5,1.5,14.5,9.5,5.75,9,1.75,5,5,0.1034482759,0.0172413793,0.3965517241,0.4827586207,9,5,5,3,3,1,0,2,2,1,3,2.5,0.5,2,0,1,1,2.5,0.5,1.5,0.5,2,2,1,1,0.5,2.5,2,0,0.116372569219166,0,0.116372569219166,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.28,1.55,1.61,78,25,13,68,60,80,10,7,3,136,150,121,10,7,13,0,0,0.73,0.67,0.06,53,65,12,8,12,20,3,7,4,14,15,29,3,3,6,3,0,3,7.72,194,276,30,543,40,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.915,2.28,1.58,1.945,8.5,10,5,6.5,1.5,0,1.5,0,2.75,3,1.5,1.75,143,136,135.5,128.5,64,68,70,74,1,2,0.5,1.5,1.75,1,1.5,0.75,3.1285
Rh2AlMn,26,-1,0,4.0683897,6.022,136,21,8767.5,7.084397,0.775,4.8625,1.2,9.5,6,1.75,-6.8183198526,7.753017241375E-05,21,32,32,4,1,7,2,5.25,8,2.25,5,4,0.2142857143,0.0357142857,0.75,0,12,7,6,3,3,1,0,2,2,1,4.5,2.5,0.5,3,0,1,1.5,2.5,0.5,1,1,2,3,2,1,2,4,2,0,0.190935716018198,0,0.190935716018198,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.28,1.55,1.61,45,25,13,65,60,80,9,7,3,142,150,121,9,7,13,0,0,0.73,0.67,0.06,20,32,12,5,15,20,2,6,4,8,21,29,2,4,6,3,0,3,7.72,128,270,28,555,38,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.915,2.28,1.58,1.945,8,9,5,6,1.5,0,1.5,0,3.5,4.5,1.5,2.5,146,142,135.5,131.5,62.5,65,70,72.5,1.5,3,0.5,2,2,1.5,1.5,1,3.011
Rh2GeMn,450,1,0,4.7436469,6.044,135.75,22,9423.25,7.5628125,1.135,4.95,0.95,9.75,7,2.125,-7.0359739588,7.753017241375E-05,27,36.75,20,3.75,0.75,9.75,2.125,7.75,5,2.25,5,4,0.1538461538,0.0512820513,0.7948717949,0,11.5,7,6.5,3,3,1,0,2,2,1,4.5,2.5,0,3,0,1,1.5,2.5,1,1,0.5,1.5,3,2,1,2,4.5,2.5,0,0.164786593392713,0,0.164786593392713,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.28,1.55,2.01,45,25,32,65,60,84,9,7,4,142,150,120,9,7,14,0,0,0.73,0.27,0.46,20,13,7,5,19,24,2,5,3,8,22,30,2,5,7,3,0,3,8.12,147,274,29,554,39,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.915,2.28,1.78,2.145,8,9,5.5,6.5,1.5,0,1.5,0,3.5,4.5,1.25,2.25,146,142,135,131,62.5,65,72,74.5,1.5,3,0.5,2,2,1.5,1.75,1.25,3.022
Rh2MnPb,355,1,0,4.8063656,6.332,142.25,7,10927.5,7.4421125,0.701875,4.8375,1.3,9.75,7,2.125,-6.7892214751,7.753017241375E-05,29,49.25,57,3.75,0.75,13.25,7.375,7.75,5,2.25,5,9,0.1132075472,0.0377358491,0.5849056604,0.2641509434,11.5,7,6.5,3,3,1,0,2,2,1,4.5,2.5,0,3,0,1,1.5,2.5,1,1,0.5,1.5,3,2,1,2,4.5,2.5,0,0.117401767536463,0,0.117401767536463,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.28,1.55,2.33,45,25,82,65,60,82,9,7,4,142,150,146,9,7,14,0,0,0.73,0.05,0.78,20,37,57,5,17,22,2,5,3,8,4,4,2,5,7,3,0,3,8.44,197,272,29,580,39,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.915,2.28,1.94,2.305,8,9,5.5,6.5,1.5,0,1.5,0,3.5,4.5,1.25,2.25,146,142,148,144,62.5,65,71,73.5,1.5,3,0.5,2,2,1.5,1.75,1.25,3.166
Rh2MnSn,412,1,0,4.7626552,6.24,140.5,3,9920,7.423935,0.6775,4.85,1.25,9.75,7,2.125,-6.8722258451,7.753017241375E-05,28,41.25,25,3.75,0.75,9.75,2.125,7.75,5,2.25,5,0,0.1538461538,0.0512820513,0.7948717949,0,11.5,7,6.5,3,3,1,0,2,2,1,4.5,2.5,0,3,0,1,1.5,2.5,1,1,0.5,1.5,3,2,1,2,4.5,2.5,0,0.144779906353267,0,0.144779906353267,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.28,1.55,1.96,45,25,50,65,60,83,9,7,4,142,150,139,9,7,14,0,0,0.73,0.32,0.41,20,5,25,5,18,23,2,5,3,8,3,11,2,5,7,3,0,3,8.07,165,273,29,573,39,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,1.915,2.28,1.755,2.12,8,9,5.5,6.5,1.5,0,1.5,0,3.5,4.5,1.25,2.25,146,142,144.5,140.5,62.5,65,71.5,74,1.5,3,0.5,2,2,1.5,1.75,1.25,3.12
Rh2NiSn,93,1,0,1.005744,6.136,136.75,18,10279.5,7.47538,0.835,5.0375,1.25,10.5,5,1.75,-6.003665675,0.148848675,21,42,22,3,0.5,10.5,1.75,8.5,2,1.5,2,5,0.1428571429,0.0476190476,0.8095238095,0,13,10,5,3,3,1,0,2,2,1,4.5,4,0,3,3,1,1.5,1,1,0.5,0.5,0,0,2,2,0.5,4.5,4,0,0.153160737174804,0.153160737174804,0,4,1,10,4,1,3,10,124,0,0,0,0,0,2.28,1.91,1.96,45,28,50,65,67,83,9,10,4,142,124,139,9,10,14,0,0,0.37,0.32,0.05,17,5,22,2,18,16,1,5,6,18,3,15,1,5,4,0,0,0,8.43,168,280,32,547,42,0,0.5953947,0,0.5953947,0.5953947,0.29769735,0,0.29769735,0,2.095,2.28,1.935,2.12,9.5,9,7,6.5,0,0,0,0,4.25,4.5,2,2.25,133,142,131.5,140.5,66,65,75,74,3,3,2,2,1.25,1.5,1,1.25,3.068
Ru2FeSi,280,-1,0,3.8635861,5.865,133.75,35,8736,7.69377,1.37625,5.1075,0.7,9.5,6,2.25,-8.0249173763,0.5276657,23,32,30,4,0,7,1.5,5,7,2.5,4,9,0.2142857143,0.0714285714,0.7142857143,0,14,9,7,3,3,1,0,2,2,1,5,4,0,3,2,1,2,2,1,0,1,1,1,2,1,1,5,4,0,0.19521411679988,0.19521411679988,0,4,2,8,4,2,2,8,142,0,0,0,0,0,2.2,1.83,1.9,44,26,14,62,61,85,8,8,4,146,142,111,8,8,14,0,0,0.37,0.3,0.07,18,30,12,1,23,24,0,4,4,4,35,31,0,6,6,2,0,2,8.13,128,270,28,545,38,2,2.1106628,0,2.1106628,2.1106628,1.0553314,0,1.0553314,0,2.015,2.2,1.865,2.05,8,8,6,6,1,0,1,0,4.5,5,2,2.5,144,146,126.5,128.5,61.5,62,73,73.5,2.5,3,1.5,2,2,2,1.5,1.5,2.9325
Ru2FeSn,595,1,0,4.1559631,6.202,140.75,14,9981,7.49183,0.935,4.97,1.25,9.5,6,2.25,-7.6589496475,0.5276657,25,41,24,4,0,9.5,2.25,7.5,4,2.5,4,5,0.1578947368,0.0526315789,0.7894736842,0,14,9,7,3,3,1,0,2,2,1,5,4,0,3,2,1,2,2,1,0,1,1,1,2,1,1,5,4,0,0.14824991040497,0.14824991040497,0,4,2,8,4,2,2,8,142,0,0,0,0,0,2.2,1.83,1.96,44,26,50,62,61,83,8,8,4,146,142,139,8,8,14,0,0,0.37,0.24,0.13,18,6,24,1,21,22,0,4,4,4,7,3,0,6,6,2,0,2,8.19,164,268,28,573,38,2,2.1106628,0,2.1106628,2.1106628,1.0553314,0,1.0553314,0,2.015,2.2,1.895,2.08,8,8,6,6,1,0,1,0,4.5,5,2,2.5,144,146,140.5,142.5,61.5,62,72,72.5,2.5,3,1.5,2,2,2,1.5,1.5,3.101
